layers,memory,seed,T,mode,family,cos,rel,norm,energy_share
1,0,1,2,trace,embedding,0.9999999480925056,3.369669302796869e-08,0.9999999999984255,0.14221075953753676
1,0,1,2,trace,decoder,0.9999999759074389,0.0,0.9999999999992466,0.6212494155994414
1,0,1,2,trace,decay,1.000000006217993,1.5172123952600352e-07,0.9999998482380331,0.00021256919020816613
1,0,1,2,trace,phase,0.9999999785377894,0.0,0.9999999999886736,0.00274849702849023
1,0,1,2,trace,write,0.9646263807622074,0.26369335045200926,0.9708265886707614,0.0009829129640814493
1,0,1,2,trace,phase_controller,1.0000000698344234,0.0,0.999999999996398,0.027175308775949578
1,0,1,2,trace,other,1.0000000013376789,0.0,0.9999999999986899,0.20542042737749958
1,0,1,2,trace,predictor,0.0,0.0,0.0,0.0
1,0,1,2,instant,embedding,0.962444774995644,0.273266484327731,0.9312245586714007,0.14221075953753676
1,0,1,2,instant,decoder,0.9999999759074389,0.0,0.9999999999992466,0.6212494155994414
1,0,1,2,instant,decay,0.8175204120344082,0.6301112799174722,0.5618255706196654,0.00021256919020816613
1,0,1,2,instant,phase,0.9999999785377894,0.0,0.9999999999886736,0.00274849702849023
1,0,1,2,instant,write,0.9374893262899694,0.5628814037088407,0.49508494123160757,0.0009829129640814493
1,0,1,2,instant,phase_controller,1.0000000698344234,0.0,0.999999999996398,0.027175308775949578
1,0,1,2,instant,other,1.0000000013376789,0.0,0.9999999999986899,0.20542042737749958
1,0,1,2,instant,predictor,0.0,0.0,0.0,0.0
1,0,1,4,trace,embedding,0.9999999889679866,6.987772266563153e-08,0.9999999999986183,0.26133317086937885
1,0,1,4,trace,decoder,0.9999999495606852,5.647541483569419e-08,0.9999999323498444,0.387288128065725
1,0,1,4,trace,decay,0.9999999933203537,7.954326955031533e-08,1.0000001045810607,0.0006326710613905387
1,0,1,4,trace,phase,0.9999999606098525,1.8445212303525954e-08,0.9999999999951965,0.02162115287546552
1,0,1,4,trace,write,0.9506633008220181,0.3104427429045297,0.939024475423251,0.001174644328872176
1,0,1,4,trace,phase_controller,0.999999940286256,9.113835333890794e-08,0.9999999096101119,0.2169362286320114
1,0,1,4,trace,other,0.9999999800921725,6.10507482555414e-08,0.9999999999978803,0.11101629484296643
1,0,1,4,trace,predictor,0.0,0.0,0.0,0.0
1,0,1,4,instant,embedding,0.8557925444364457,0.5390577704713747,0.7042536747090093,0.26133317086937885
1,0,1,4,instant,decoder,0.9999999495606852,5.647541483569419e-08,0.9999999323498444,0.387288128065725
1,0,1,4,instant,decay,0.9189835608683627,0.44141631780021917,0.7205421180261616,0.0006326710613905387
1,0,1,4,instant,phase,0.9665179750057494,0.6558423882377394,0.3629566269880785,0.02162115287546552
1,0,1,4,instant,write,0.9011585048471014,0.43591749416878534,0.947099632585897,0.001174644328872176
1,0,1,4,instant,phase_controller,0.9647561652307751,0.6529359047007418,0.3671945121598428,0.2169362286320114
1,0,1,4,instant,other,0.9999999800921725,6.10507482555414e-08,0.9999999999978803,0.11101629484296643
1,0,1,4,instant,predictor,0.0,0.0,0.0,0.0
1,0,1,8,trace,embedding,0.999999986508816,8.128501596855008e-08,0.9999999999971828,0.1874121846791398
1,0,1,8,trace,decoder,1.0000000992526152,5.8987436357867745e-08,0.9999999056567208,0.5937632193449102
1,0,1,8,trace,decay,1.0000000077231124,1.6236384457106448e-07,1.0000001448264726,6.138067461919694e-05
1,0,1,8,trace,phase,1.0000000368410726,1.4697832598672922e-07,0.9999999306951507,0.004300179354978479
1,0,1,8,trace,write,0.8985001015837675,0.4544815579294998,1.0162108331099742,0.0014512743846136183
1,0,1,8,trace,phase_controller,0.9999999811853126,2.191695263168663e-07,0.999999999994146,0.043407400910129894
1,0,1,8,trace,other,1.0000000011189238,8.288688527034144e-08,0.9999999999970386,0.16960505988938074
1,0,1,8,trace,predictor,0.0,0.0,0.0,0.0
1,0,1,8,instant,embedding,0.8362057685782476,0.5508546171425786,0.8879832869097861,0.1874121846791398
1,0,1,8,instant,decoder,1.0000000992526152,5.8987436357867745e-08,0.9999999056567208,0.5937632193449102
1,0,1,8,instant,decay,-0.5478621301210184,3.144943435450997,2.483774395215396,6.138067461919694e-05
1,0,1,8,instant,phase,0.7243573151855734,0.6896101387273477,0.7083686981771653,0.004300179354978479
1,0,1,8,instant,write,0.8188305251481555,0.5993151166703785,0.9910572785157103,0.0014512743846136183
1,0,1,8,instant,phase_controller,0.686200554129844,0.7284132385176392,0.7243716742232766,0.043407400910129894
1,0,1,8,instant,other,1.0000000011189238,8.288688527034144e-08,0.9999999999970386,0.16960505988938074
1,0,1,8,instant,predictor,0.0,0.0,0.0,0.0
1,0,1,16,trace,embedding,0.9999999895438604,1.0860797698087176e-07,0.999999999995538,0.16127234561397946
1,0,1,16,trace,decoder,1.0000000284291086,8.938845247854158e-08,0.9999999999975996,0.5572211274689385
1,0,1,16,trace,decay,0.9999999944124788,2.737516756309515e-07,0.9999997283251837,0.0006040525786046634
1,0,1,16,trace,phase,1.0000000249475396,1.85380659181691e-07,1.0000001305395405,0.01045681977033109
1,0,1,16,trace,write,0.8771065624800837,0.48292983699279207,0.9274771216569146,0.0012684557564861339
1,0,1,16,trace,phase_controller,0.9999998271836468,3.355694526357951e-07,1.000000332039621,0.10346321084799803
1,0,1,16,trace,other,0.9999999621761971,9.952836540756707e-08,0.9999999999955982,0.16571489187174226
1,0,1,16,trace,predictor,0.0,0.0,0.0,0.0
1,0,1,16,instant,embedding,0.8236259966609423,0.5686042489014073,0.8645026647781545,0.16127234561397946
1,0,1,16,instant,decoder,1.0000000284291086,8.938845247854158e-08,0.9999999999975996,0.5572211274689385
1,0,1,16,instant,decay,0.9969119844098344,0.453088476936856,1.4431437050758007,0.0006040525786046634
1,0,1,16,instant,phase,0.8422867581703426,0.7438098979357319,0.32974386270250283,0.01045681977033109
1,0,1,16,instant,write,0.6758023632571829,0.9872574832608775,1.3326023361000612,0.0012684557564861339
1,0,1,16,instant,phase_controller,0.7753225495215766,0.7614287672124052,0.35000041090397493,0.10346321084799803
1,0,1,16,instant,other,0.9999999621761971,9.952836540756707e-08,0.9999999999955982,0.16571489187174226
1,0,1,16,instant,predictor,0.0,0.0,0.0,0.0
1,0,1,32,trace,embedding,0.9999999648889956,1.2372942648589875e-07,0.9999999999954121,0.1818260791715264
1,0,1,32,trace,decoder,1.0000000131090783,9.166411055986228e-08,0.9999999240897237,0.5899251946108262
1,0,1,32,trace,decay,1.0000000258274302,4.211524508840774e-08,0.9999999999200074,0.0005980947363583341
1,0,1,32,trace,phase,1.0000000381938636,4.113412631921027e-07,0.9999999388598675,0.0035558417265970513
1,0,1,32,trace,write,0.856382105447732,0.5167345082579085,0.8764982903735343,0.0015362608636977273
1,0,1,32,trace,phase_controller,0.9999999530973801,2.0226217525005203e-07,0.9999999999907057,0.04430290969389838
1,0,1,32,trace,other,1.0000000783564336,1.5165824187008256e-07,1.0000000690400994,0.17825751366224557
1,0,1,32,trace,predictor,0.0,0.0,0.0,0.0
1,0,1,32,instant,embedding,0.8211971333135909,0.5713439467698471,0.8494433611776705,0.1818260791715264
1,0,1,32,instant,decoder,1.0000000131090783,9.166411055986228e-08,0.9999999240897237,0.5899251946108262
1,0,1,32,instant,decay,0.8446484425239261,0.5440177133964009,0.9415301822352631,0.0005980947363583341
1,0,1,32,instant,phase,0.23569035285967443,1.0852036554046305,0.7186157357239047,0.0035558417265970513
1,0,1,32,instant,write,0.7274426299515979,0.7101222561860935,0.910325232517871,0.0015362608636977273
1,0,1,32,instant,phase_controller,0.12904915285112867,1.1213111062271564,0.6524919337929536,0.04430290969389838
1,0,1,32,instant,other,1.0000000783564336,1.5165824187008256e-07,1.0000000690400994,0.17825751366224557
1,0,1,32,instant,predictor,0.0,0.0,0.0,0.0
1,0,1,64,trace,embedding,1.0000000455589164,1.1527051882734813e-07,1.0000000672128,0.19757090340161654
1,0,1,64,trace,decoder,1.0000000293717861,1.4418735164879804e-07,0.9999999214791302,0.5791675016526563
1,0,1,64,trace,decay,0.9999999876911517,1.1906301137105489e-07,0.9999998961839143,0.001295514186145342
1,0,1,64,trace,phase,1.0000000771125717,2.0625469342533996e-07,1.0000000675518868,0.00305326055916407
1,0,1,64,trace,write,0.8546636883792254,0.519543612442396,0.8352805692155502,0.0014693563760215039
1,0,1,64,trace,phase_controller,0.9999999482025403,2.405609051206507e-07,0.9999999999901631,0.04154602105519017
1,0,1,64,trace,other,0.9999999552699333,1.613274464622825e-07,1.0000000712332646,0.1758981472857791
1,0,1,64,trace,predictor,0.0,0.0,0.0,0.0
1,0,1,64,instant,embedding,0.8023521360163275,0.5973709965342695,0.8272644839824161,0.19757090340161654
