layers,memory,seed,T,mode,family,cos,rel,norm,energy_share
1,0,0,2,trace,embedding,0.9999999722919697,1.457166191784494e-08,0.999999999999022,0.32966991911818105
1,0,0,2,trace,decoder,1.0000000442686432,0.0,0.9999999999992206,0.5191529062533085
1,0,0,2,trace,decay,0.9999990133210045,4.877455778398757e-07,1.0000001077900593,3.614321496734953e-07
1,0,0,2,trace,phase,0.999999976063369,0.0,0.999999999841419,1.2535896440663282e-05
1,0,0,2,trace,write,0.999917809963118,0.012827961517913567,1.0000983268983639,0.0002249110200210391
1,0,0,2,trace,phase_controller,1.000000065953563,0.0,0.9999999999507426,0.00012993132193938353
1,0,0,2,trace,other,0.9999999358920239,0.0,0.9999999999985543,0.15081213416971184
1,0,0,2,trace,predictor,0.0,0.0,0.0,0.0
1,0,0,2,instant,embedding,0.9992694637394001,0.03982471995593365,1.0104667664679623,0.32966991911818105
1,0,0,2,instant,decoder,1.0000000442686432,0.0,0.9999999999992206,0.5191529062533085
1,0,0,2,instant,decay,0.8756868900527921,1.6644166583532065,2.4685184223883128,3.614321496734953e-07
1,0,0,2,instant,phase,0.999999976063369,0.0,0.999999999841419,1.2535896440663282e-05
1,0,0,2,instant,write,0.9969896423453839,0.08147192075297095,1.0220073813159933,0.0002249110200210391
1,0,0,2,instant,phase_controller,1.000000065953563,0.0,0.9999999999507426,0.00012993132193938353
1,0,0,2,instant,other,0.9999999358920239,0.0,0.9999999999985543,0.15081213416971184
1,0,0,2,instant,predictor,0.0,0.0,0.0,0.0
1,0,0,4,trace,embedding,0.9999999581159169,8.028265387580223e-08,0.9999999999982723,0.275106894083284
1,0,0,4,trace,decoder,0.9999999588718699,2.8600951253919345e-08,0.999999999998803,0.5730911991238288
1,0,0,4,trace,decay,0.9999999973621032,1.0316712874283962e-07,0.9999999998892518,6.695805891389753e-05
1,0,0,4,trace,phase,1.0000000278471566,4.226610958859601e-08,0.999999999977312,0.0015954543309991437
1,0,0,4,trace,write,0.25918877084928654,1.2402923253230311,1.0373298207343444,0.00033783867504962414
