layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
1,0,2,instant,1,0.9972880859699123,0.07394828255636177,0.9900671890922532,0.0,0.0,0.0
1,0,2,trace,1,0.9999954235556814,0.0030244144864399127,1.0000056327959264,0.0,0.0,0.0
1,0,4,instant,1,0.9978188820408493,0.06602994772242515,0.9994346762289669,0.0,0.0,0.0
1,0,4,trace,1,0.9999918439349242,0.0040520952007957025,1.0000088504690539,0.0,0.0,0.0
1,0,8,instant,1,0.9442486832892429,0.334685813061613,0.8840791343784611,0.0,0.0,0.0
1,0,8,trace,1,0.9997859154089505,0.020694819939494836,0.9999545953471338,0.0,0.0,0.0
1,0,16,instant,1,0.9736123848832852,0.22863801762646782,0.9596067275831095,0.0,0.0,0.0
1,0,16,trace,1,0.9996751823816317,0.02549365623660963,1.0002616575562209,0.0,0.0,0.0
1,0,32,instant,1,0.9777751562025334,0.21043182015668202,0.9597334494467558,0.0,0.0,0.0
1,0,32,trace,1,0.9996359517166358,0.026984052249921422,1.0001626430931232,0.0,0.0,0.0
1,0,64,instant,1,0.9669568996042286,0.25722260310931533,0.9327652480639385,0.0,0.0,0.0
1,0,64,trace,1,0.9996742652806437,0.02552396401392151,1.000115573412235,0.0,0.0,0.0
1,0,128,instant,1,0.950511301723142,0.31076348017237376,0.9572795054762662,0.0,0.0,0.0
1,0,128,trace,1,0.9996433335257626,0.026709478884941365,1.0001499149752293,0.0,0.0,0.0
1,1,2,instant,1,0.9604892768132941,0.2786844350761734,0.9748009430538578,0.0,0.0,0.0
1,1,2,trace,1,0.9999936208345228,0.0034917331806860875,1.0000113756670341,0.0,0.0,0.0
1,1,4,instant,1,0.9679108903434738,0.2516315483182254,0.9809682508546882,0.0,0.0,0.0
1,1,4,trace,1,0.9998748725679506,0.016017937970714602,0.9974000491100242,0.0,0.0,0.0
1,1,8,instant,1,0.9705056057032624,0.24151758245510332,0.9850608912174446,0.0,0.0,0.0
1,1,8,trace,1,0.999422827201157,0.034047414709669925,0.9970762333149211,0.0,0.0,0.0
1,1,16,instant,1,0.9397058467243079,0.3506608997255214,0.8621825488112232,0.0,0.0,0.0
1,1,16,trace,1,0.9995897554062292,0.0289923593686153,1.004037225555061,0.0,0.0,0.0
1,1,32,instant,1,0.9362420271083834,0.35600251341696487,0.8789067106519916,0.0,0.0,0.0
1,1,32,trace,1,0.9988503819379513,0.05057141408201016,1.0149684891784205,0.0,0.0,0.0
1,1,64,instant,1,0.9472346426758843,0.32416972036727965,0.8988722249186059,0.0,0.0,0.0
1,1,64,trace,1,0.9982375612953883,0.06179889185004049,1.0154640190570923,0.0,0.0,0.0
1,1,128,instant,1,0.9166370782376435,0.4042006305987265,0.8566216156888355,0.0,0.0,0.0
1,1,128,trace,1,0.9954814394746075,0.10475888980563759,1.0397306552079495,0.0,0.0,0.0
2,0,2,instant,1,0.9878051783019403,0.16032959901045574,0.9495364315509927,0.0,0.0,0.0
2,0,2,trace,1,0.9922254544675339,0.1301444899679368,0.9541629275416648,0.0,0.0,0.0
2,0,4,instant,1,0.9711863500886183,0.24063360125799588,0.9379001131013521,0.0,0.0,0.0
2,0,4,trace,1,0.9901955522890612,0.14213905692668538,0.9639150809057757,0.0,0.0,0.0
2,0,8,instant,1,0.7257716978769843,0.7061172286763158,0.5665687814998615,0.0,0.0,0.0
2,0,8,trace,1,0.9211027500935856,0.3907817161557616,0.8873348988471758,0.0,0.0,0.0
2,0,16,instant,1,0.7651394918447298,0.6440630868839591,0.7491928986481621,0.0,0.0,0.0
2,0,16,trace,1,0.8552224710637794,0.5238416153993509,0.9314726235442133,0.0,0.0,0.0
2,0,32,instant,1,0.6376453129330953,0.7714747899383428,0.5956360077822888,0.0,0.0,0.0
2,0,32,trace,1,0.9892260913359608,0.15161232347908568,0.9498049407237902,0.0,0.0,0.0
2,0,64,instant,1,0.5480752410546721,0.838610810819353,0.4876258835792284,0.0,0.0,0.0
2,0,64,trace,1,0.9811432919304633,0.2344004070511851,0.8485324114505581,0.0,0.0,0.0
2,0,128,instant,1,0.49009338922898316,0.8737543679087182,0.42977576049421046,0.0,0.0,0.0
2,0,128,trace,1,0.977479131986232,0.2603706757970269,0.8249727644764406,0.0,0.0,0.0
2,1,2,instant,1,0.9973750638498505,0.07286070070869569,0.989209388969823,0.0,0.0,0.0
2,1,2,trace,1,0.999309267118065,0.03774195298020532,0.9926325798709374,0.0,0.0,0.0
2,1,4,instant,1,0.9322753663976415,0.3749672608049893,0.8335920594960743,0.0,0.0,0.0
2,1,4,trace,1,0.9836744981166816,0.1803008911543959,0.9725318258618619,0.0,0.0,0.0
2,1,8,instant,1,0.8265605652571895,0.6315417255561687,0.5401214349073057,0.0,0.0,0.0
2,1,8,trace,1,0.9926572063577177,0.12152259946699119,0.9810275705081026,0.0,0.0,0.0
2,1,16,instant,1,0.7097269746239205,0.720224153080216,0.5599421276951031,0.0,0.0,0.0
2,1,16,trace,1,0.9733830356820514,0.22938063954798574,0.963878881258599,0.0,0.0,0.0
2,1,32,instant,1,0.7784447064490424,0.6809111101409715,0.5145967235447391,0.0,0.0,0.0
2,1,32,trace,1,0.9872741553587945,0.1601976149093481,0.9679536547389671,0.0,0.0,0.0
2,1,64,instant,1,0.7979793022090023,0.647885424684336,0.5602267022244307,0.0,0.0,0.0
2,1,64,trace,1,0.9789657378004503,0.20750543768693785,1.0168153788568215,0.0,0.0,0.0
2,1,128,instant,1,0.8226436412622111,0.614539588442065,0.5894007422104697,0.0,0.0,0.0
2,1,128,trace,1,0.9633251488351656,0.28644787663790866,1.0635647748188426,0.0,0.0,0.0
