layers,memory,seed,T,mode,cos,rel,norm
1,0,7,256,trace,0.9997024773020747,0.02438897572185618,0.9996574177459432
1,0,7,256,instant,0.5497996369267032,0.8378177300128757,0.6147443570083979
1,1,7,256,trace,0.9878055985393015,0.16208195484753518,0.9427514153471386
1,1,7,256,instant,0.9416653565795671,0.3378413993007332,0.912163465776329
2,0,7,256,trace,0.8679732996951828,0.5043403542162697,0.7800154796297627
2,0,7,256,instant,0.6816569955475945,0.7317148413643175,0.6737692326112941
2,1,7,256,trace,0.9084498079262325,0.5151054900301147,0.6074283019024478
2,1,7,256,instant,0.5367864394746156,0.8745397799323648,0.30665838396950296
4,0,7,256,trace,0.8530984632862084,0.5555301735354212,0.6623338051372087
4,0,7,256,instant,0.3331716575853381,0.9430828927974533,0.31294804470559406
4,1,7,256,trace,0.5316794004752351,0.8603899802903162,0.6831859478365695
4,1,7,256,instant,0.3712964214847121,0.9322612052753931,0.2877925096313367
