layers,memory,seed,T,mode,family,cos,rel,norm,energy_share
1,0,7,256,trace,embedding,0.9999999879395777,2.3862256176332066e-07,1.0000002336294223,0.10340234646436165
1,0,7,256,trace,decoder,1.0000000423767565,2.6280174806587527e-07,0.99999999999726,0.21159560276927264
1,0,7,256,trace,decay,0.999999990652271,1.010111496847612e-07,0.9999999075196288,0.0025792537513169137
1,0,7,256,trace,phase,1.0000000037509382,2.7725669954642654e-07,0.9999997587870421,0.054568337712964037
1,0,7,256,trace,write,0.902630165097555,0.4307102391526049,0.8867399926814354,0.0032063928413892323
1,0,7,256,trace,phase_controller,1.0000000176948167,1.5294391378603644e-07,0.9999998985929114,0.5488807243314497
1,0,7,256,trace,other,0.9999999095986531,3.682740992918517e-07,1.0000002046958756,0.07576784737349872
1,0,7,256,trace,predictor,0.0,0.0,0.0,0.0
1,0,7,256,instant,embedding,0.6825387280842362,0.7310274540175089,0.6664083265962402,0.10340234646436165
1,0,7,256,instant,decoder,1.0000000423767565,2.6280174806587527e-07,0.99999999999726,0.21159560276927264
1,0,7,256,instant,decay,0.9997550655012579,0.5804630506786037,0.419714047908187,0.0025792537513169137
1,0,7,256,instant,phase,0.0069486388127490695,1.0342459260589951,0.2709811985926837,0.054568337712964037
1,0,7,256,instant,write,0.6361305203963497,0.8187987982377178,0.36209845155777537,0.0032063928413892323
1,0,7,256,instant,phase_controller,0.011284802344237604,1.0326358028535958,0.26909123736734636,0.5488807243314497
1,0,7,256,instant,other,0.9999999095986531,3.682740992918517e-07,1.0000002046958756,0.07576784737349872
1,0,7,256,instant,predictor,0.0,0.0,0.0,0.0
1,1,7,256,trace,embedding,0.9906717328115111,0.13630468733903375,0.987600002228655,0.08041909921342064
1,1,7,256,trace,decoder,1.0000002628608289,3.0996399607078114e-07,0.9999999223153149,0.5122973176319982
1,1,7,256,trace,decay,0.9659141918815091,0.29104347975567535,0.832885792945318,8.723698449774407e-05
1,1,7,256,trace,phase,0.9829953369538244,0.3831419318063744,0.6467255340224887,0.013391660494911369
1,1,7,256,trace,write,0.9490902706118295,0.777429140062827,1.6598424222553139,0.00022334266516506343
1,1,7,256,trace,phase_controller,0.9800451732941001,0.3672606086125242,0.6712265963098633,0.14542756724078826
1,1,7,256,trace,other,0.9946259512651551,0.11091617620377504,0.9548402845199094,0.24815424447103948
1,1,7,256,trace,predictor,0.0,0.0,0.0,0.0
1,1,7,256,instant,embedding,0.8951319363013708,0.45253815762565164,0.9729244625301422,0.08041909921342064
1,1,7,256,instant,decoder,1.0000002628608289,3.0996399607078114e-07,0.9999999223153149,0.5122973176319982
