layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
1,0,2,instant,10,0.9958451517713713,0.08044134644259153,0.9960091518219747,0.003534119831427308,0.04510936303984539,0.014653666534694102
1,0,2,trace,10,0.9999446668504783,0.007560232906696729,0.9999809804839913,9.419516904603322e-05,0.007313808412536734,6.646814700698268e-05
1,0,4,instant,10,0.9808638923233837,0.16314690226882506,0.9707583844950621,0.026524416971668543,0.10764506488163163,0.05466607670902361
1,0,4,trace,10,0.9999433725361933,0.009009419448186687,1.0000014120436262,7.211607453956077e-05,0.005668397884240658,0.00010109615384348053
1,0,8,instant,10,0.9374265505299734,0.34086927307963044,0.8978374779061639,0.03209907241031074,0.08723600259139559,0.07507956644833753
1,0,8,trace,10,0.9998309383206709,0.016995090509903048,1.0000180555442522,0.00012673133468439979,0.007023442287571452,0.0001787729628588532
1,0,16,instant,10,0.8579062101112009,0.4993164204458216,0.7901668449617587,0.06997575402481852,0.13589075821926766,0.1165019430334883
1,0,16,trace,10,0.999856405048899,0.01564266596503155,0.9999803017520733,0.00010982452873196877,0.006521550135523202,0.0001428740834465482
1,0,32,instant,10,0.8528357017873397,0.4842420492724,0.8104110940398599,0.10288324005922006,0.17745073723297833,0.13764474223616463
1,0,32,trace,10,0.99979459107898,0.017346134323329192,0.9999333194055442,0.00019014374371935667,0.010485908640745754,0.00020436504472406579
1,0,64,instant,10,0.8256572690153925,0.5195525081589135,0.8111093525213052,0.12103337261879415,0.1906727588973797,0.11597159062277344
1,0,64,trace,10,0.9997167003442238,0.02154610534037591,0.999857413110156,0.0002260755537217621,0.010110227272191193,0.000313680004740841
1,0,128,instant,10,0.8092451921057403,0.5436281428226184,0.7931201788346537,0.1311646647844209,0.18922003264546858,0.1315965088392099
1,0,128,trace,10,0.9997086983827914,0.021892562349532737,0.9998664379927289,0.00021365322966342105,0.010164102393987108,0.0002843311053041832
1,0,256,instant,10,0.8044316604490792,0.5486359762051765,0.7888352230876883,0.13431499294386473,0.19178985603073956,0.13408655960350657
1,0,256,trace,10,0.9996905776321091,0.02260452917206727,0.9998490766133272,0.00023625072291060786,0.010384741230519058,0.000319936869481311
1,1,2,instant,10,0.9904749675718394,0.12603862764319487,0.9939849406289021,0.010289527067764344,0.05704199397975927,0.017302640691885047
1,1,2,trace,10,0.9995112995478938,0.024964431923280295,1.0008534126952737,0.0008082791535595357,0.019228462680923163,0.0035262830998176883
1,1,4,instant,10,0.98176232999182,0.18841378914049536,0.9871759695362892,0.005992892048230475,0.02947153320009386,0.013691263638416122
1,1,4,trace,10,0.9991774475508095,0.03649046858796694,1.0006539573051751,0.0008200055785101882,0.018149076268333945,0.0036809850797861797
1,1,8,instant,10,0.9430961081896175,0.33043333712093365,0.8973683594162967,0.020628501077843656,0.06907816352847657,0.054463035608504816
1,1,8,trace,10,0.9991673355202039,0.03946694716617675,1.0012709849014658,0.0004163604089195274,0.011729824356923536,0.004923407850242882
1,1,16,instant,10,0.8759767927239231,0.4429549336192292,0.7808663496082119,0.1080357062293111,0.20918814703757713,0.20165728013978543
