layers,memory,seed,T,mode,cos,rel,norm
2,1,4,256,trace,0.9550842267049569,0.36551212143070494,1.169057799752222
2,1,4,256,instant,0.712464682174029,0.7070532247271897,0.6256855599760149
4,0,4,256,trace,0.8895513793928689,0.4591327593608886,0.8436763332692618
4,0,4,256,instant,0.6126342200088855,0.7959213664577751,0.518761981210961
4,1,4,256,trace,0.9370087711762342,0.35161332319508615,0.8967984070802026
4,1,4,256,instant,0.6595463023794892,0.809864831599823,0.3580801820477655
1,0,5,256,trace,0.9997013262758615,0.0244481154822115,0.9999381374552897
1,0,5,256,instant,0.8145209460052721,0.5801376191319692,0.8124433302054747
1,1,5,256,trace,0.9992614699481484,0.04801359588375637,0.9704820147045734
1,1,5,256,instant,0.7219179485881932,0.7680891201721429,0.3885616818166208
2,0,5,256,trace,0.7425657093734845,0.6756789947641912,0.6534256180601691
2,0,5,256,instant,0.5457219731117495,0.8404178041184258,0.4815785863343863
2,1,5,256,trace,0.922995751770894,0.4510244897836285,0.6877414487123296
2,1,5,256,instant,0.3776817596727282,0.9267756833056274,0.33821815024259416
4,0,5,256,trace,0.8018005801860465,0.5977178731546022,0.7895235625288467
4,0,5,256,instant,0.6785877224600959,0.7449020029171777,0.5546540689212373
4,1,5,256,trace,0.8980596148471198,0.4513168105152487,0.9990458306142381
4,1,5,256,instant,0.6584133585862582,0.7529364071379568,0.6789186907238489
1,0,6,256,trace,0.9993106091929177,0.0371290699790223,0.9991736741927824
1,0,6,256,instant,0.6058229353891884,0.7957857017248093,0.5886111420300825
1,1,6,256,trace,0.9976917803840036,0.08750631901997545,0.9425017374145568
1,1,6,256,instant,0.7460567719293194,0.6863957585889789,0.5795033661686317
2,0,6,256,trace,0.8809682373892348,0.4799938902989265,0.9615851351859961
2,0,6,256,instant,0.6866316223059361,0.7281432520448599,0.6459422236606165
2,1,6,256,trace,0.9746252232763919,0.23057771183503592,1.0299491790847677
2,1,6,256,instant,0.6644709515208729,0.7477690745511703,0.6905566423191657
4,0,6,256,trace,0.8624634270046903,0.5204454491526006,0.7411899455633173
4,0,6,256,instant,0.5266127015557862,0.8712538938755461,0.33581238659075385
