layers,memory,seed,T,mode,family,cos,rel,norm,energy_share
1,0,0,256,trace,embedding,1.0000000777691544,2.562361981902863e-07,1.000000143328692,0.09663686612823949
1,0,0,256,trace,decoder,0.9999999005539594,2.9857908835391275e-07,0.9999998483229537,0.3452018355720699
1,0,0,256,trace,decay,0.9999999409409124,6.245735519242634e-07,0.9999994784302506,6.418992175305356e-05
1,0,0,256,trace,phase,0.999999885649361,4.856329100534724e-07,0.999999580493318,0.045126853884113534
1,0,0,256,trace,write,0.9453961750229962,0.33788865547381614,1.0345186051726827,0.0007282995229177251
1,0,0,256,trace,phase_controller,1.0000000743200335,2.725065387890716e-07,1.0000000667230438,0.44592047583087485
1,0,0,256,trace,other,0.9999999588709995,2.9943050781195325e-07,0.9999999999941944,0.06632213063514619
1,0,0,256,trace,predictor,0.0,0.0,0.0,0.0
1,0,0,256,instant,embedding,0.7742483920566869,0.6328920859236703,0.7778192409708351,0.09663686612823949
1,0,0,256,instant,decoder,0.9999999005539594,2.9857908835391275e-07,0.9999998483229537,0.3452018355720699
1,0,0,256,instant,decay,0.9873566771230912,0.3867045734659742,0.634633596142628,6.418992175305356e-05
1,0,0,256,instant,phase,0.45484740229742743,0.9452659937056768,0.13796543616486937,0.045126853884113534
1,0,0,256,instant,write,0.5071908076848399,0.8731063834221594,0.647038516003629,0.0007282995229177251
1,0,0,256,instant,phase_controller,0.4271330913355276,0.9473242594489982,0.1445277628217235,0.44592047583087485
1,0,0,256,instant,other,0.9999999588709995,2.9943050781195325e-07,0.9999999999941944,0.06632213063514619
1,0,0,256,instant,predictor,0.0,0.0,0.0,0.0
1,1,0,256,trace,embedding,0.9896408348170079,0.144130310019067,0.9769015091611077,0.035567770519783014
1,1,0,256,trace,decoder,1.0000000853743602,3.043686409379384e-07,1.0000001420328124,0.18441587272523277
1,1,0,256,trace,decay,0.980265560924181,0.197697104332166,0.9824389121253496,8.559810545582131e-05
1,1,0,256,trace,phase,0.9973828302954572,0.12662707006402782,0.893426271925413,0.06356452126983331
1,1,0,256,trace,write,0.9935394352280857,0.15136743829798602,0.8933750703176405,0.000543790531567471
1,1,0,256,trace,phase_controller,0.9973428988002032,0.12686600631188494,0.893478212957646,0.630916820531353
1,1,0,256,trace,other,0.9912581016688402,0.1320237186152853,0.9959614393091369,0.08490564112119652
1,1,0,256,trace,predictor,0.0,0.0,0.0,0.0
1,1,0,256,instant,embedding,0.8746841993977509,0.48473918728023874,0.8679423804679703,0.035567770519783014
1,1,0,256,instant,decoder,1.0000000853743602,3.043686409379384e-07,1.0000001420328124,0.18441587272523277
1,1,0,256,instant,decay,-0.10247722093006044,1.2517745424340334,0.6574183331639596,8.559810545582131e-05
1,1,0,256,instant,phase,0.9973862710525527,0.8463879170033429,0.1540881385646298,0.06356452126983331
1,1,0,256,instant,write,0.4850936596124075,0.8877336897200131,0.33216512633511835,0.000543790531567471
1,1,0,256,instant,phase_controller,0.9600528598935553,0.8504377496697215,0.15696759782376213,0.630916820531353
1,1,0,256,instant,other,0.9912581016688402,0.1320237186152853,0.9959614393091369,0.08490564112119652
1,1,0,256,instant,predictor,0.0,0.0,0.0,0.0
2,0,0,256,trace,embedding,0.878128922219666,0.4792408872716152,0.8501693869828478,0.07390165829985032
2,0,0,256,trace,decoder,0.9999998286511071,2.9641506964666027e-07,0.9999997311593659,0.2760767519191954
2,0,0,256,trace,decay,0.9910501806947157,0.16563242094634723,1.0891033289739493,0.0018545260580634135
2,0,0,256,trace,phase,0.9842301651758669,0.46875951091384205,0.550128271924572,0.047407258681267835
2,0,0,256,trace,write,0.7833618332274536,0.637097478119102,0.9231790548768527,0.0005387667976625993
2,0,0,256,trace,phase_controller,0.9810087901671845,0.4698966853573778,0.5530119908071041,0.47545521843557476
2,0,0,256,trace,other,0.922808807911355,0.38649421006628554,0.8919216281084481,0.1247663662241499
2,0,0,256,trace,predictor,0.0,0.0,0.0,0.0
2,0,0,256,instant,embedding,0.6631536023250538,0.7487533536044603,0.6832566624284184,0.07390165829985032
2,0,0,256,instant,decoder,0.9999998286511071,2.9641506964666027e-07,0.9999997311593659,0.2760767519191954
2,0,0,256,instant,decay,0.9406303304158834,0.747847395682117,0.27425131006720876,0.0018545260580634135
2,0,0,256,instant,phase,0.6438974599969333,0.8321317630603736,0.3167169522880935,0.047407258681267835
2,0,0,256,instant,write,0.3198636045980792,1.0353947084129818,0.7374218043297854,0.0005387667976625993
2,0,0,256,instant,phase_controller,0.620775735382376,0.8371986485551627,0.32706791889029974,0.47545521843557476
2,0,0,256,instant,other,0.922808807911355,0.38649421006628554,0.8919216281084481,0.1247663662241499
2,0,0,256,instant,predictor,0.0,0.0,0.0,0.0
2,1,0,256,trace,embedding,0.6153236446019595,0.7962772616308784,0.7279328497930224,0.11001009091077389
2,1,0,256,trace,decoder,0.9999999819797551,2.742967065513375e-07,0.9999998036664774,0.19696339792745343
2,1,0,256,trace,decay,0.8482220601740524,0.5967759221437143,0.5732275071688737,0.0043277902818413235
2,1,0,256,trace,phase,0.8303909612451253,0.5663448114851652,0.7289248282775759,0.042559024519890194
2,1,0,256,trace,write,0.1468498077658411,1.2138464289698947,0.8504037404046275,0.0008591448210171304
2,1,0,256,trace,phase_controller,0.8319612847762136,0.5645431124916945,0.727709080670096,0.4402759113146372
2,1,0,256,trace,other,0.7771175091762498,0.6294755432630238,0.7894278459585112,0.20500600910251682
2,1,0,256,trace,predictor,0.0,0.0,0.0,0.0
2,1,0,256,instant,embedding,0.5235141646934545,0.853119413166582,0.5668758984448101,0.11001009091077389
