layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
1,0,256,instant,1,0.8371647247180921,0.5619503257968534,0.7081960972453103,0.0,0.0,0.0
1,0,256,trace,1,0.9999685800237242,0.007911647286633185,0.9999720859863251,0.0,0.0,0.0
1,1,256,instant,1,0.8088038565253375,0.5910362012677116,0.7497543945265891,0.0,0.0,0.0
1,1,256,trace,1,0.9916412515546043,0.1541955312908667,1.0760712237125631,0.0,0.0,0.0
2,0,256,instant,1,0.498570571812236,0.8694509418892398,0.4313562272519387,0.0,0.0,0.0
2,0,256,trace,1,0.9177968827410702,0.4309912218405291,0.7501530300826167,0.0,0.0,0.0
2,1,256,instant,1,0.6543722347353157,0.7755026620195749,0.4823031179307663,0.0,0.0,0.0
2,1,256,trace,1,0.952030748935715,0.3119095880723156,1.0124478395648566,0.0,0.0,0.0
4,0,256,instant,1,0.5339279802668367,0.8858782128765813,0.2696188306853606,0.0,0.0,0.0
4,0,256,trace,1,0.9005685713305482,0.5168011252648518,0.621092335813098,0.0,0.0,0.0
4,1,256,instant,1,0.7329655228515262,0.6908167279940862,0.6126901807907557,0.0,0.0,0.0
4,1,256,trace,1,0.8267653254565343,0.5632303420923832,0.8545055887257147,0.0,0.0,0.0
