layers,memory,seed,T,mode,family,cos,rel,norm,energy_share
1,0,3,256,trace,embedding,0.9999999922178449,2.654626890244115e-07,0.9999999999942846,0.1429588877408759
1,0,3,256,trace,decoder,1.0000001749892107,2.3761905799776108e-07,0.999999999997399,0.6902328055086078
1,0,3,256,trace,decay,0.9999999966713023,5.40399603299693e-07,1.0000005394408944,0.0006818320056460782
1,0,3,256,trace,phase,1.000000104136847,3.167095606921184e-07,0.9999997644218174,0.004672278196289756
1,0,3,256,trace,write,0.34659377827865523,1.4426965062416943,1.4427236069959886,0.0006678793441987318
1,0,3,256,trace,phase_controller,1.0000000372733107,2.765810715216469e-07,1.0000000739444241,0.04739743118970311
1,0,3,256,trace,other,1.0000000930099133,2.5025810763422035e-07,0.9999999999935826,0.11339099272993404
1,0,3,256,trace,predictor,0.0,0.0,0.0,0.0
1,0,3,256,instant,embedding,0.9291749164324228,0.3708847642851774,0.9595203254234921,0.1429588877408759
1,0,3,256,instant,decoder,1.0000001749892107,2.3761905799776108e-07,0.999999999997399,0.6902328055086078
1,0,3,256,instant,decay,0.4994881669148088,0.919488657903521,0.8076241319937542,0.0006818320056460782
1,0,3,256,instant,phase,0.863910214520033,0.5803306838086725,0.5755970222020883,0.004672278196289756
1,0,3,256,instant,write,0.0853598408240267,1.1746737064306665,0.707569154952554,0.0006678793441987318
1,0,3,256,instant,phase_controller,0.739365631621861,0.6792387582849272,0.649772904672679,0.04739743118970311
1,0,3,256,instant,other,1.0000000930099133,2.5025810763422035e-07,0.9999999999935826,0.11339099272993404
1,0,3,256,instant,predictor,0.0,0.0,0.0,0.0
1,1,3,256,trace,embedding,0.9975127796296968,0.07081900525169585,0.990699063572031,0.08796793551300702
1,1,3,256,trace,decoder,1.000000063715398,2.7809793275351267e-07,1.000000074432365,0.49064328842259314
1,1,3,256,trace,decay,0.999884651337312,0.05853397492788122,1.0564122973380061,0.0010066368356055181
1,1,3,256,trace,phase,0.9999959420418814,0.066848951921236,1.0667837136125204,0.014572596492684333
1,1,3,256,trace,write,0.870881186607431,0.907857499754188,1.6341892099204798,0.0018675885563519121
1,1,3,256,trace,phase_controller,0.999991925868749,0.0668270256470417,1.0666975741103466,0.14432085924577973
1,1,3,256,trace,other,0.9973217559318701,0.0737776824601406,0.9876313543097949,0.2596211893995888
1,1,3,256,trace,predictor,0.0,0.0,0.0,0.0
1,1,3,256,instant,embedding,0.9414664872866726,0.3371214578273734,0.9446135555700238,0.08796793551300702
1,1,3,256,instant,decoder,1.000000063715398,2.7809793275351267e-07,1.000000074432365,0.49064328842259314
1,1,3,256,instant,decay,-0.9567425994265262,1.267465492716437,0.276880115469251,0.0010066368356055181
1,1,3,256,instant,phase,0.7996423554484287,0.8364333501656079,0.21736361707188517,0.014572596492684333
1,1,3,256,instant,write,0.7096566154393743,0.7772042072824512,0.3815424841927247,0.0018675885563519121
1,1,3,256,instant,phase_controller,0.6659956513433755,0.8456563403222491,0.26764311627383797,0.14432085924577973
1,1,3,256,instant,other,0.9973217559318701,0.0737776824601406,0.9876313543097949,0.2596211893995888
1,1,3,256,instant,predictor,0.0,0.0,0.0,0.0
2,0,3,256,trace,embedding,0.8709614389214673,0.4984690990766875,0.7870308401776445,0.03946532329015359
2,0,3,256,trace,decoder,1.000000081761599,3.095879271241691e-07,0.9999999999976791,0.11992761299326521
2,0,3,256,trace,decay,0.9823936835622875,0.23350158752439787,0.8423212870297287,0.0021435485684862788
2,0,3,256,trace,phase,0.996103915227326,0.08908564411291332,0.9834767135527699,0.05512292997607819
2,0,3,256,trace,write,0.8880702079400701,0.47470149120244604,0.7697056976583557,0.001530457732156381
2,0,3,256,trace,phase_controller,0.9953424772894237,0.09724814781067628,0.9825429802602239,0.5475946709680298
2,0,3,256,trace,other,0.9033351472441407,0.5165143650358236,0.6155830339606919,0.23421565360295943
2,0,3,256,trace,predictor,0.0,0.0,0.0,0.0
2,0,3,256,instant,embedding,0.8000299988456426,0.610374833488769,0.6877569826640284,0.03946532329015359
2,0,3,256,instant,decoder,1.000000081761599,3.095879271241691e-07,0.9999999999976791,0.11992761299326521
2,0,3,256,instant,decay,0.7228950707826783,0.8544979325927318,0.22015855559265637,0.0021435485684862788
2,0,3,256,instant,phase,0.9075752631653564,0.7588640727711164,0.27546168411243444,0.05512292997607819
2,0,3,256,instant,write,0.46323734814838946,0.8919030352164584,0.3628369646904104,0.001530457732156381
2,0,3,256,instant,phase_controller,0.9010559120277809,0.7581813453451074,0.2791710859663049,0.5475946709680298
2,0,3,256,instant,other,0.9033351472441407,0.5165143650358236,0.6155830339606919,0.23421565360295943
2,0,3,256,instant,predictor,0.0,0.0,0.0,0.0
2,1,3,256,trace,embedding,0.8829612645993474,0.49352599170068245,0.7306832855648453,0.20436430336795777
2,1,3,256,trace,decoder,1.0000000593485658,3.1789801519779575e-07,0.9999999333711803,0.3994954462480214
2,1,3,256,trace,decay,0.9055004274276401,0.5451976302988646,0.5631970467567843,0.002690413389761311
2,1,3,256,trace,phase,0.7717280735622862,0.8036369281818553,1.2630493308608084,0.015416517809242207
2,1,3,256,trace,write,0.6330342684103805,0.7744232418078458,0.6545692709632505,0.001857212181519353
2,1,3,256,trace,phase_controller,0.7719625920914979,0.8039837784022889,1.2642188168369828,0.15668333600503573
2,1,3,256,trace,other,0.9248930057485604,0.38059092949800205,0.9082532110674586,0.21949337291785126
2,1,3,256,trace,predictor,0.0,0.0,0.0,0.0
2,1,3,256,instant,embedding,0.5909768469647997,0.8068948029984487,0.60922487961068,0.20436430336795777
