layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
2,1,2,instant,1,0.982557984037588,0.1923776367778016,0.9332708324884198,0.0,0.0,0.0
2,1,2,trace,1,0.9882930022843849,0.1593107863899578,0.9424374626593068,0.0,0.0,0.0
2,1,4,instant,1,0.9705482888806186,0.24149247220485218,0.9537607457940465,0.0,0.0,0.0
2,1,4,trace,1,0.9851756236524912,0.17239604169978248,0.9681474676097569,0.0,0.0,0.0
2,1,8,instant,1,0.9366873877388446,0.35390192010282384,0.8854094225694195,0.0,0.0,0.0
2,1,8,trace,1,0.9881378830823289,0.15357024189709761,0.9875530689781528,0.0,0.0,0.0
2,1,16,instant,1,0.6648546953115111,0.7575244799556626,0.5388586992136203,0.0,0.0,0.0
2,1,16,trace,1,0.9834383653028428,0.1982198572948363,0.9031787376463604,0.0,0.0,0.0
2,1,32,instant,1,0.8433044505680981,0.5377768658064639,0.8624449665349471,0.0,0.0,0.0
2,1,32,trace,1,0.9325904435663941,0.37056054818458933,1.0164960033177683,0.0,0.0,0.0
2,1,64,instant,1,0.8183664396987198,0.5751350542016074,0.8408303721285799,0.0,0.0,0.0
2,1,64,trace,1,0.8992799773540388,0.4452932404271736,0.9828843057253402,0.0,0.0,0.0
2,1,128,instant,1,0.7983979285132086,0.6025340589349658,0.8204812045859949,0.0,0.0,0.0
2,1,128,trace,1,0.9122044968954023,0.41659225875502015,0.9874885923436965,0.0,0.0,0.0
