layers,memory,seed,T,mode,family,cos,rel,norm,energy_share
1,0,1,256,trace,embedding,1.0000000650993415,2.1531786972172133e-07,0.9999998636475398,0.193948189655951
1,0,1,256,trace,decoder,0.9999998925264447,2.9413696296879574e-07,0.9999999196405842,0.5583906582873739
1,0,1,256,trace,decay,1.0000000298797247,1.8356440052992627e-07,1.0000000906316702,0.0017128375074650045
1,0,1,256,trace,phase,0.9999999751822636,2.0625857168670234e-07,1.0000001021092617,0.005400563834653485
1,0,1,256,trace,write,0.8728291219966016,0.489834309703618,0.8307813775559726,0.0013719662888483735
1,0,1,256,trace,phase_controller,0.9999999162964788,3.835368480720587e-07,1.0000003493896887,0.06645466328658879
1,0,1,256,trace,other,0.9999999824264091,2.7633593166946134e-07,0.9999999999951519,0.1727219515726119
1,0,1,256,trace,predictor,0.0,0.0,0.0,0.0
1,0,1,256,instant,embedding,0.7918545876901097,0.6108014385492019,0.8024272786813843,0.193948189655951
1,0,1,256,instant,decoder,0.9999998925264447,2.9413696296879574e-07,0.9999999196405842,0.5583906582873739
1,0,1,256,instant,decay,0.8741464291797493,0.5861361345781074,0.5459884507421938,0.0017128375074650045
1,0,1,256,instant,phase,-0.24937781997864328,1.3812181065074376,0.7354840287652197,0.005400563834653485
1,0,1,256,instant,write,0.7431449104579074,0.706722700531589,0.9705674584714438,0.0013719662888483735
1,0,1,256,instant,phase_controller,-0.2944702724065893,1.3563837078632694,0.668072894563266,0.06645466328658879
1,0,1,256,instant,other,0.9999999824264091,2.7633593166946134e-07,0.9999999999951519,0.1727219515726119
1,0,1,256,instant,predictor,0.0,0.0,0.0,0.0
1,1,1,256,trace,embedding,0.9894343448644053,0.14710466002574388,0.9645475387105105,0.11553670505684077
1,1,1,256,trace,decoder,1.0000000360749521,3.271285396148676e-07,0.9999999229581332,0.36735532636489127
1,1,1,256,trace,decay,0.9996569421170172,0.07853361705037766,0.9256214051211268,0.003918585318422333
1,1,1,256,trace,phase,0.9873242481822044,0.169723209896153,1.0474501131944227,0.03214177549810814
1,1,1,256,trace,write,0.9531446704666111,0.3209330370394103,1.060301100939286,0.0010870095855827877
1,1,1,256,trace,phase_controller,0.9873638922770149,0.17006709824187355,1.0490923355581496,0.32304780200781247
1,1,1,256,trace,other,0.977153695053278,0.2133183636837633,0.9954206395222773,0.15691368364522607
1,1,1,256,trace,predictor,0.0,0.0,0.0,0.0
1,1,1,256,instant,embedding,0.7764536122127147,0.6397204992421284,0.6663512625954047,0.11553670505684077
1,1,1,256,instant,decoder,1.0000000360749521,3.271285396148676e-07,0.9999999229581332,0.36735532636489127
1,1,1,256,instant,decay,-0.995467085407226,1.072612915085515,0.07292106058457039,0.003918585318422333
1,1,1,256,instant,phase,0.9971880651972795,0.6352555499388037,0.36636817844928593,0.03214177549810814
1,1,1,256,instant,write,0.5498496523963141,0.8462557817842496,0.41389547146280087,0.0010870095855827877
1,1,1,256,instant,phase_controller,0.98798158913835,0.6324022279802982,0.3747604631760595,0.32304780200781247
