layers,memory,seed,T,mode,cos,rel,norm
1,0,9,2,trace,0.9999808909413299,0.006170252464300212,0.9999785727491571
1,0,9,2,instant,0.9942666540734962,0.10806782534830778,0.9786052313830162
1,0,9,4,trace,0.9999789957906542,0.0065045039145575296,1.0000873980356173
1,0,9,4,instant,0.9928658758061252,0.11937595805021561,0.9871075741328342
1,0,9,8,trace,0.9995831889435334,0.02886942986877722,0.9996158062654529
1,0,9,8,instant,0.9159853432153485,0.40839551989893025,0.839727083194574
1,0,9,16,trace,0.9997532177173386,0.022214189111894413,0.999780332519498
1,0,9,16,instant,0.8296707460465796,0.5660078205862329,0.7362976878438077
1,0,9,32,trace,0.9996316652580621,0.02714060712887933,0.9996240937520613
1,0,9,32,instant,0.8758372814119421,0.4872295380558976,0.8088756125049316
1,0,9,64,trace,0.9995601202698398,0.02965590763379421,0.999594468295738
1,0,9,64,instant,0.8954953516313852,0.44877126907122983,0.8379815479711911
1,0,9,128,trace,0.9995565930231476,0.029774528885756546,0.9995520347296976
1,0,9,128,instant,0.8798535633197502,0.47756563883313413,0.8328335028550365
1,1,9,2,trace,0.9999232299894485,0.012420472474260235,1.0001436040567677
1,1,9,2,instant,0.994539625999408,0.10465671732049944,0.9866321542579795
1,1,9,4,trace,0.9998302372026994,0.01842805844475577,0.9997880272948106
1,1,9,4,instant,0.9881003569611858,0.15406060783599645,0.9794360842473134
1,1,9,8,trace,0.9998654892362623,0.016390873332233418,0.9992556689309743
1,1,9,8,instant,0.9368252301346136,0.35415305989173446,0.8814509554272201
1,1,9,16,trace,0.9989117504826961,0.046680564746184046,0.9969932490650054
1,1,9,16,instant,0.9471873741059131,0.32210731924636143,0.9169018411203342
1,1,9,32,trace,0.9984638190524806,0.056113766925257866,0.9896170916109167
1,1,9,32,instant,0.8625246500170758,0.5116002781380912,0.7871338975428763
1,1,9,64,trace,0.9930165642334692,0.11878403981597735,0.9791725654631113
1,1,9,64,instant,0.8813425287773997,0.4791515405194226,0.8016506736590061
1,1,9,128,trace,0.9846133886075642,0.17585122414516094,0.9649425003742851
1,1,9,128,instant,0.8719795517231312,0.4948552439350929,0.7996627350475333
2,0,9,2,trace,0.9988581394035381,0.04780031855427988,0.9971074321451773
2,0,9,2,instant,0.9988041307780607,0.04898221930989886,0.9956938921749072
2,0,9,4,trace,0.9950475533328953,0.09939977330129422,0.9947926029426851
2,0,9,4,instant,0.9925673058372892,0.12202054565501037,0.9836792113061563
2,0,9,8,trace,0.9460088642542785,0.3739561870715516,0.7595254486317051
2,0,9,8,instant,0.5280981597495962,0.8561558736309951,0.4190521084953487
2,0,9,16,trace,0.883124454806757,0.5329106171473884,0.6303336889050322
2,0,9,16,instant,0.4500817426019599,0.8975046923742718,0.5400202114691958
2,0,9,32,trace,0.9118208570263119,0.5700026366141295,0.5164472672349877
2,0,9,32,instant,0.24865684919258513,0.968917278134723,0.2737784403278622
2,0,9,64,trace,0.9067839030727725,0.5907610566263284,0.4929532312820638
2,0,9,64,instant,0.2448699309282174,0.9705098497712019,0.28788851969215207
2,0,9,128,trace,0.9086507566514661,0.5980833733686641,0.4804568078203844
2,0,9,128,instant,0.1809716178021231,0.9850055279625795,0.23562319797573708
2,1,9,2,trace,0.9914906051826443,0.13447398714929082,0.9577850527537844
2,1,9,2,instant,0.9926172522847792,0.1250224015594763,0.9623022645865642
2,1,9,4,trace,0.9815912378187435,0.19170018602349034,0.9651463464778011
2,1,9,4,instant,0.9822438365736345,0.18931379082465144,0.9569000712570348
2,1,9,8,trace,0.9822365715998268,0.1879369716782803,0.9717709585301468
2,1,9,8,instant,0.8986067011521672,0.4617755508272231,0.754622360321228
2,1,9,16,trace,0.9565569521285425,0.29155147258910075,0.9580962781189054
2,1,9,16,instant,0.9261525329158787,0.38821715837255244,0.834112833149958
2,1,9,32,trace,0.9293672744897638,0.3817914704931348,0.8319547967016994
2,1,9,32,instant,0.7503369689744885,0.6623503597861424,0.7089311001735109
2,1,9,64,trace,0.9406786441032039,0.37396923915232033,0.7834213865051515
2,1,9,64,instant,0.5999678038882149,0.801549712974196,0.550533180866373
2,1,9,128,trace,0.9338899615277079,0.38871008616003655,0.7814243435000895
2,1,9,128,instant,0.592134067630693,0.8065724316833908,0.5577550557672598
