layers,memory,seed,T,mode,family,cos,rel,norm,energy_share
1,0,9,2,trace,embedding,1.0000000148915842,5.964423896142311e-08,0.9999999999985862,0.201827546299807
1,0,9,2,trace,decoder,0.999999923184446,0.0,0.9999999999992221,0.6667344141578725
1,0,9,2,trace,decay,0.9999999567662831,1.9801533923866106e-07,1.0000000837486356,1.2418161727609207e-05
1,0,9,2,trace,phase,1.0000000506949123,0.0,0.9999999999002087,4.0509325122747675e-05
1,0,9,2,trace,write,0.7728100478574897,0.6355841095254897,0.7381322059105656,9.424532291624251e-05
1,0,9,2,trace,phase_controller,1.0000000886243057,0.0,0.9999999999725614,0.0005358149358737518
1,0,9,2,trace,other,1.0000000380356981,0.0,0.9999999999982436,0.13075545639300415
1,0,9,2,trace,predictor,0.0,0.0,0.0,0.0
1,0,9,2,instant,embedding,0.9744759297936044,0.24022672575465448,0.888964083531369,0.201827546299807
1,0,9,2,instant,decoder,0.999999923184446,0.0,0.9999999999992221,0.6667344141578725
1,0,9,2,instant,decay,0.8728707983765529,0.9138654774648451,1.6455633391022833,1.2418161727609207e-05
1,0,9,2,instant,phase,1.0000000506949123,0.0,0.9999999999002087,4.0509325122747675e-05
1,0,9,2,instant,write,0.8813194488988854,0.4725211306241002,0.8816763747860433,9.424532291624251e-05
1,0,9,2,instant,phase_controller,1.0000000886243057,0.0,0.9999999999725614,0.0005358149358737518
1,0,9,2,instant,other,1.0000000380356981,0.0,0.9999999999982436,0.13075545639300415
1,0,9,2,instant,predictor,0.0,0.0,0.0,0.0
1,0,9,4,trace,embedding,1.000000029927549,4.61090722884608e-08,0.99999999999744,0.14387598566773732
1,0,9,4,trace,decoder,0.9999999439997068,5.2033773130985286e-08,0.9999999999988946,0.7716481567017945
1,0,9,4,trace,decay,0.9999995749529103,1.1704955309000751e-06,1.000000791716699,2.4630699533462513e-06
1,0,9,4,trace,phase,0.9999999012389296,2.3518740397122588e-07,0.9999999999368676,0.00023658272652564367
1,0,9,4,trace,write,0.9725726156889958,0.3217431872302093,1.1948700756436548,0.00040870470693496816
1,0,9,4,trace,phase_controller,0.9999999619868776,1.1383864633822447e-07,0.9999998981858317,0.00505090989157988
1,0,9,4,trace,other,0.9999999489952324,7.612789664114195e-08,0.9999999999965403,0.07877769400366857
1,0,9,4,trace,predictor,0.0,0.0,0.0,0.0
1,0,9,4,instant,embedding,0.9517346557908221,0.3103955379772281,0.9054294602286157,0.14387598566773732
1,0,9,4,instant,decoder,0.9999999439997068,5.2033773130985286e-08,0.9999999999988946,0.7716481567017945
1,0,9,4,instant,decay,-0.6996265470946287,10.15405694203449,9.429260178323249,2.4630699533462513e-06
1,0,9,4,instant,phase,0.9988283796045673,0.04879084212261938,1.0050526388929395,0.00023658272652564367
1,0,9,4,instant,write,0.8912968976192555,0.5570655295316512,1.2149201350318513,0.00040870470693496816
1,0,9,4,instant,phase_controller,0.9993082436502658,0.038485400890880095,0.9893979864132164,0.00505090989157988
1,0,9,4,instant,other,0.9999999489952324,7.612789664114195e-08,0.9999999999965403,0.07877769400366857
1,0,9,4,instant,predictor,0.0,0.0,0.0,0.0
1,0,9,8,trace,embedding,1.0000000365923076,5.3559415390474995e-08,0.9999999999965082,0.12400656461518914
1,0,9,8,trace,decoder,1.0000000593547653,7.694039359265706e-08,0.9999999999983015,0.5240863918791206
1,0,9,8,trace,decay,1.0000000060310739,1.4427201983132229e-07,0.9999999355360972,0.00031626091403338675
1,0,9,8,trace,phase,0.9999999108058917,1.1325110348869262e-08,0.9999999999922488,0.025165487496554166
1,0,9,8,trace,write,0.6999940418886278,0.7146753160088442,0.727422850206053,0.0016317696443570056
1,0,9,8,trace,phase_controller,1.0000000685058414,1.8321234902991995e-08,0.9999999999975648,0.2549623577755275
1,0,9,8,trace,other,1.000000138021928,1.1816993118626313e-07,0.9999999999953468,0.06983138396704455
1,0,9,8,trace,predictor,0.0,0.0,0.0,0.0
1,0,9,8,instant,embedding,0.774780707109947,0.6322302955127754,0.7740769462404895,0.12400656461518914
1,0,9,8,instant,decoder,1.0000000593547653,7.694039359265706e-08,0.9999999999983015,0.5240863918791206
1,0,9,8,instant,decay,0.1532500248084907,1.0736866655870114,0.5731174159480718,0.00031626091403338675
1,0,9,8,instant,phase,0.9987084603817159,0.6366114885227427,0.36412766837439464,0.025165487496554166
1,0,9,8,instant,write,0.5185905688493144,0.8695049933800291,0.3605553715254794,0.0016317696443570056
1,0,9,8,instant,phase_controller,0.9924703594005351,0.6430257494283418,0.36121798339940026,0.2549623577755275
1,0,9,8,instant,other,1.000000138021928,1.1816993118626313e-07,0.9999999999953468,0.06983138396704455
1,0,9,8,instant,predictor,0.0,0.0,0.0,0.0
1,0,9,16,trace,embedding,1.0000000425527364,1.3884264949504845e-07,1.0000000634516935,0.12158031565928698
1,0,9,16,trace,decoder,1.0000000100338975,8.490778842144873e-08,0.9999999999975462,0.3661610620580003
1,0,9,16,trace,decay,0.9999999892389153,2.308026467686048e-07,1.0000001992568286,0.0004331847661014885
1,0,9,16,trace,phase,0.9999999523829075,1.265252260107071e-07,1.0000001130248766,0.0383178929953084
1,0,9,16,trace,write,0.8178970022209293,0.5757722713635102,0.8395577203445821,0.0014885363267127623
