layers,memory,seed,T,mode,cos,rel,norm
1,0,7,2,trace,0.999991572058211,0.004128872633836046,0.9999690613164604
1,0,7,2,instant,0.9994866708872254,0.03205461565451863,1.0003636312926871
1,0,7,4,trace,0.9999342928958056,0.011469188574537116,1.0002326484143433
1,0,7,4,instant,0.9883723902347865,0.15207094077712022,0.990786658831686
1,0,7,8,trace,0.9999663278830867,0.008215124144625352,1.000068996588929
1,0,7,8,instant,0.9444428015784104,0.33134864081075005,0.9024696376970522
1,0,7,16,trace,0.9999595136356824,0.008983877941159537,1.0000580727744914
1,0,7,16,instant,0.8552632809320342,0.5237213646350561,0.9311555969422258
1,0,7,32,trace,0.9999818898248154,0.006012342073005532,1.0000409770281675
1,0,7,32,instant,0.6757066164646077,0.7389751262246055,0.6241037968876694
1,0,7,64,trace,0.9998140968074173,0.019277948955982074,0.999806845777434
1,0,7,64,instant,0.6213734924433518,0.7853064982018456,0.6743824107773009
1,0,7,128,trace,0.999692815356409,0.024780544824099377,0.999702178113861
1,0,7,128,instant,0.5394250100139163,0.846702269894672,0.6282114687308308
1,1,7,2,trace,0.9999479275007522,0.010276334651707473,1.001316682200658
1,1,7,2,instant,0.9988799015296087,0.04733858921176446,1.0003699573691984
1,1,7,4,trace,0.9992879939625602,0.03774761026704882,0.9980601848154176
1,1,7,4,instant,0.9759329397732531,0.22097037566896524,1.0116123351036044
1,1,7,8,trace,0.9985805706749781,0.05377661927026034,1.0060331452951041
1,1,7,8,instant,0.9409250137576487,0.3420021719543305,0.8929071157156693
1,1,7,16,trace,0.9986404390391372,0.05500910604541572,0.9810686312245247
1,1,7,16,instant,0.8851769873653239,0.4674929333863155,0.8394824712308223
1,1,7,32,trace,0.9987015744556405,0.05112223491540656,0.9942986717164086
1,1,7,32,instant,0.9662807570079647,0.25811288264869275,0.9483478677861644
1,1,7,64,trace,0.9988704862250717,0.047897804662135696,0.9928181190197765
1,1,7,64,instant,0.9635337020749444,0.26793660889198573,0.9498487356023486
1,1,7,128,trace,0.9955073778257988,0.09883232160838894,0.9671633662446406
1,1,7,128,instant,0.9559165571859517,0.29431242203883856,0.9360013429845164
2,0,7,2,trace,0.9900769128548781,0.1412662984203677,0.9756585574853529
2,0,7,2,instant,0.9874301677845451,0.15851526275488997,0.9753889052654146
2,0,7,4,trace,0.9817060860556048,0.19534090710011331,0.9380668374334995
2,0,7,4,instant,0.9385269240488984,0.35251853329553007,0.8670993985654731
2,0,7,8,trace,0.9417120073374301,0.3371643570799851,0.9193111857815615
2,0,7,8,instant,0.8821707224273528,0.48237188685574867,0.7777308100289966
2,0,7,16,trace,0.9476988173369315,0.3671195579921836,0.766287210504889
2,0,7,16,instant,0.7094726578567693,0.7349378486700329,0.5009429441288742
2,0,7,32,trace,0.931834897197718,0.40484310469828055,0.7523519670366797
2,0,7,32,instant,0.6724927774146071,0.7528511716212107,0.5345381787555321
2,0,7,64,trace,0.8900504154678478,0.462774141480621,0.8103634488172429
2,0,7,64,instant,0.704989351613266,0.7093286329517962,0.6924502375171908
2,0,7,128,trace,0.8848993070751127,0.4779779196096701,0.77761638839355
2,0,7,128,instant,0.6916701227148674,0.7231016022644899,0.6558438455635232
2,1,7,2,trace,0.9832668449433832,0.1833330942943583,0.9626599882246349
2,1,7,2,instant,0.8870704454385012,0.4644836007108561,0.9384419912607443
2,1,7,4,trace,0.9767299479753738,0.2334614661085145,0.8845032172193982
2,1,7,4,instant,0.8740903220320131,0.48872385320688655,0.8203788673735588
2,1,7,8,trace,0.9227796843361902,0.4159486210911197,0.7661443399194127
2,1,7,8,instant,0.8186814822152307,0.5945326826605205,0.6647080185676794
2,1,7,16,trace,0.9176768857594324,0.39933041235837297,0.8777384881314579
2,1,7,16,instant,0.6620287529447234,0.7599394055029408,0.5363700435680958
2,1,7,32,trace,0.8942280634074632,0.49052719444205417,0.6935770852156135
2,1,7,32,instant,0.5812888681356861,0.8416335966786236,0.3662442923976451
2,1,7,64,trace,0.8909369958658804,0.5391586308109356,0.6003171341222066
2,1,7,64,instant,0.544405384109461,0.8676256547360346,0.32270626336430774
2,1,7,128,trace,0.9072234924180101,0.5112779946234879,0.6166040135344816
2,1,7,128,instant,0.5369293914177874,0.8716039427456468,0.3178712544310548
