layers,memory,seed,T,mode,cos,rel,norm
1,0,6,2,trace,0.9999981016939401,0.001955948116698849,1.000031451434481
1,0,6,2,instant,0.9995442594687979,0.030193659955989532,0.9999410879452075
1,0,6,4,trace,0.9999647887570453,0.008385958158619627,0.9998607490730622
1,0,6,4,instant,0.9922011617397203,0.12465145486932415,0.9910682639813715
1,0,6,8,trace,0.9998303564629141,0.018426626268552838,1.0003937781993975
1,0,6,8,instant,0.9762622009927185,0.21660399188519683,0.9785993373256316
1,0,6,16,trace,0.9999530838094313,0.009686862830689733,0.9998822175652249
1,0,6,16,instant,0.7384411644584404,0.6872438890015385,0.6057767942895848
1,0,6,32,trace,0.9997715851621389,0.021370503721561462,0.9995845215224125
1,0,6,32,instant,0.698852448571275,0.7299773907876191,0.5530371590950156
1,0,6,64,trace,0.9992894588955097,0.03769077234771567,0.9990987535511919
1,0,6,64,instant,0.616628430133199,0.7874240032385781,0.6329633522910232
1,0,6,128,trace,0.9994349593878004,0.033613679343983065,0.9992833321851189
1,0,6,128,instant,0.6320526687147744,0.7766326290666594,0.5805881020375431
1,1,6,2,trace,0.9999029653812399,0.01395725855915158,0.9999196283900337
1,1,6,2,instant,0.9895940360777565,0.144004808321951,0.9838335766077017
1,1,6,4,trace,0.9991141004878001,0.04208979210536884,0.9996200600733248
1,1,6,4,instant,0.9846359185666749,0.17643410705819457,0.9594001948895353
1,1,6,8,trace,0.9995219089734074,0.030975988630456287,1.0012272781043485
1,1,6,8,instant,0.9162279511370549,0.4142949505421297,0.8108065796894007
1,1,6,16,trace,0.9997228849839056,0.025051050822483534,0.991139954810441
1,1,6,16,instant,0.7444323870751417,0.7389205666766319,0.42791445263000677
1,1,6,32,trace,0.9994316671337118,0.03379492824858694,1.0017515213493142
1,1,6,32,instant,0.8004056619843135,0.6289145857041628,0.610187466421108
1,1,6,64,trace,0.9989638515607133,0.04758711664122402,0.9850534969775516
1,1,6,64,instant,0.7837513782564705,0.6430025957482837,0.6172628023208133
1,1,6,128,trace,0.9982879947745077,0.07219354024419068,0.9559754209911423
1,1,6,128,instant,0.7622645829364639,0.6681320863017673,0.5965918661803522
2,0,6,2,trace,0.9988351640316946,0.04960443867073845,0.9873459934314581
2,0,6,2,instant,0.9984054871385438,0.05781765118010531,0.9859223078045646
2,0,6,4,trace,0.9576197539098248,0.2883626665456623,0.9439335332632219
2,0,6,4,instant,0.968397946926068,0.2547710082839623,0.9164259393755089
2,0,6,8,trace,0.9506519189571061,0.3102615338614521,0.9517878906578677
2,0,6,8,instant,0.8490098320230396,0.5568683601702367,0.6731694795605814
2,0,6,16,trace,0.8393804359704812,0.5744369471899141,1.0252222274161455
2,0,6,16,instant,0.7625981940231911,0.6471075368086534,0.7800312294007474
2,0,6,32,trace,0.814142333032211,0.6105293494866652,1.002754359876983
2,0,6,32,instant,0.6531495782815758,0.7586884543880517,0.7001896646113434
2,0,6,64,trace,0.901234247481136,0.4407883693448836,0.9819641202882262
2,0,6,64,instant,0.7223960133662989,0.693554019457068,0.6687964298256255
2,0,6,128,trace,0.8732879633338569,0.4954751765405243,0.9634412153107154
2,0,6,128,instant,0.6736689714505137,0.7393003832701394,0.6537908952885183
2,1,6,2,trace,0.9850934978316477,0.1738144279406914,1.00997830213367
2,1,6,2,instant,0.9805321579178602,0.19958382753266962,1.0162510231118913
2,1,6,4,trace,0.955861809483808,0.29557999452829636,0.9881005284254647
2,1,6,4,instant,0.9203617745466646,0.39472778210351867,0.9739870223329289
2,1,6,8,trace,0.9589561712512281,0.29204278983417925,0.8890539715805426
2,1,6,8,instant,0.8630466756470927,0.5096146667307256,0.7955413764684646
2,1,6,16,trace,0.9658036877304208,0.2630952644038866,0.9211295246422563
2,1,6,16,instant,0.8853465446178282,0.4783370769260053,0.772895735414128
2,1,6,32,trace,0.9377748997928556,0.35668480639812067,1.0192886321956818
2,1,6,32,instant,0.7845931688602951,0.6208602978500585,0.817042317605582
2,1,6,64,trace,0.9728770635526792,0.23644521556606984,1.021827294712195
2,1,6,64,instant,0.7164166257190667,0.6985720025040963,0.751850439528997
2,1,6,128,trace,0.9647473948975087,0.27542868897906875,1.0459809944980416
2,1,6,128,instant,0.6880260982152008,0.7261466602569957,0.713896495710221
