layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
1,0,2,instant,1,0.9994422653377875,0.03355641195019075,1.0027657751810635,0.0,0.0,0.0
1,0,2,trace,1,0.999995711286094,0.0029534230657766313,1.000002186859805,0.0,0.0,0.0
1,0,4,instant,1,0.9916306686876277,0.1291377519750301,0.9943586831005754,0.0,0.0,0.0
1,0,4,trace,1,0.9999754877825281,0.007005146753822242,1.000032877774509,0.0,0.0,0.0
1,0,8,instant,1,0.9435976227394262,0.331460771540131,0.9591685355713412,0.0,0.0,0.0
1,0,8,trace,1,0.9999651109815392,0.008364203032105832,1.000038447473169,0.0,0.0,0.0
1,0,16,instant,1,0.8578732822161055,0.5334625057488115,0.7145974596034936,0.0,0.0,0.0
1,0,16,trace,1,0.9999072087092055,0.013625706688472494,0.9999428287531373,0.0,0.0,0.0
1,0,32,instant,1,0.8845145148891751,0.4731437980760563,0.8055766297790268,0.0,0.0,0.0
1,0,32,trace,1,0.9999842564710002,0.005601752890794212,1.0000085350593149,0.0,0.0,0.0
1,0,64,instant,1,0.8449271439121996,0.5473214332337819,0.7288979628646434,0.0,0.0,0.0
1,0,64,trace,1,0.9999690559308994,0.007866076112980638,0.999974170817605,0.0,0.0,0.0
1,0,128,instant,1,0.8388675593834836,0.5591007347998339,0.7112282545762263,0.0,0.0,0.0
1,0,128,trace,1,0.9999806514049046,0.0062425404843132444,0.9999841401750871,0.0,0.0,0.0
1,1,2,instant,1,0.9928347654142876,0.12029485694999077,1.0066790722424455,0.0,0.0,0.0
1,1,2,trace,1,0.99950363007993,0.031505068807401546,0.999671581672435,0.0,0.0,0.0
1,1,4,instant,1,0.9873688718678266,0.1592217299927802,1.0031713557905888,0.0,0.0,0.0
1,1,4,trace,1,0.9998273224013009,0.018581711569186116,0.9997675169001972,0.0,0.0,0.0
1,1,8,instant,1,0.9150267076022374,0.40366778249135526,0.9001381840099397,0.0,0.0,0.0
1,1,8,trace,1,0.9987197154950627,0.05058790914945075,0.99973187960118,0.0,0.0,0.0
1,1,16,instant,1,0.9605280408941099,0.2801439861299083,0.927440508772229,0.0,0.0,0.0
1,1,16,trace,1,0.9981694169225774,0.061023179700657015,0.9900615382093317,0.0,0.0,0.0
1,1,32,instant,1,0.901889535788678,0.4321818751972337,0.8882497434180031,0.0,0.0,0.0
1,1,32,trace,1,0.9964567079374226,0.08462406698300479,1.0057955692181606,0.0,0.0,0.0
1,1,64,instant,1,0.8282133384140974,0.5619325241473979,0.7869194002963512,0.0,0.0,0.0
1,1,64,trace,1,0.9932887331734788,0.12278154649011998,1.0344980636110723,0.0,0.0,0.0
1,1,128,instant,1,0.8133862090136865,0.5840285365132296,0.7615603633364858,0.0,0.0,0.0
1,1,128,trace,1,0.9925496224026769,0.14069756963638294,1.062912532052203,0.0,0.0,0.0
2,0,2,instant,1,0.9974740675732594,0.0710515707382003,0.9955409286831379,0.0,0.0,0.0
2,0,2,trace,1,0.9994727919452261,0.032506736125038745,0.9978527387128958,0.0,0.0,0.0
2,0,4,instant,1,0.9434912385897622,0.3336528242513495,0.9047683256229772,0.0,0.0,0.0
2,0,4,trace,1,0.95502259523073,0.3001904897550264,0.9083124055085224,0.0,0.0,0.0
2,0,8,instant,1,0.8294737917806521,0.5728662763879423,0.7021841537964514,0.0,0.0,0.0
2,0,8,trace,1,0.9432515092994231,0.3708973387646356,0.7780605529723861,0.0,0.0,0.0
2,0,16,instant,1,0.5991261513136916,0.8142136943652907,0.4511550897274833,0.0,0.0,0.0
2,0,16,trace,1,0.9137668483099635,0.42013310380941005,0.8066168992912469,0.0,0.0,0.0
2,0,32,instant,1,0.6110359640463892,0.7955716037614549,0.5316656448071729,0.0,0.0,0.0
2,0,32,trace,1,0.9387208457055475,0.3607511763360766,0.8322396679935741,0.0,0.0,0.0
2,0,64,instant,1,0.5432802645864103,0.842327609912326,0.47494793576621724,0.0,0.0,0.0
2,0,64,trace,1,0.9220347536005048,0.4117836675455209,0.7816298287438354,0.0,0.0,0.0
2,0,128,instant,1,0.5110479893114349,0.8635922369155645,0.4276106721069447,0.0,0.0,0.0
2,0,128,trace,1,0.9231664657263967,0.418316323850506,0.7581659231222939,0.0,0.0,0.0
2,1,2,instant,1,0.9899728906601578,0.1430470120430076,1.012504705642586,0.0,0.0,0.0
2,1,2,trace,1,0.9828658323558433,0.18602383274759207,1.0079498679043983,0.0,0.0,0.0
2,1,4,instant,1,0.957059603945678,0.30597741290191577,0.8591541503189432,0.0,0.0,0.0
2,1,4,trace,1,0.9821096078555992,0.20803480721172252,0.8936896402609292,0.0,0.0,0.0
2,1,8,instant,1,0.9514820794281684,0.32267944410927324,0.854317896032125,0.0,0.0,0.0
2,1,8,trace,1,0.9686689006313439,0.25399981493829793,0.9154163161098495,0.0,0.0,0.0
